"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33372",1388421,40,1.333333,0,0,0,7,0,"Male",150,0,"Europe"
"33373",1388423,28,0.9489245,1.235294,0.6685472,2.035294,217,210,"Male",2,6,"Europe"
"33374",1388424,31,12.16921,0,12.56244,0,73,0,"Male",146,0,"Europe"
"33375",1388425,26,2.568082,1.04625,1.071071,1.512233,86,54,"Male",125,133,"Asia"
"33376",1388426,24,21.6591,0,0,0,2,0,"Female",217,0,"Asia"
"33377",1388432,18,0,2.901626,0,1.953771,0,8,"Male",0,204,"Europe"
"33378",1388433,24,0,1.808619,0,1.189419,0,5,"Male",0,213,"Europe"
"33379",1388434,19,8.690833,2.166667,3.703333,2.155556,45,2,"Male",167,170,"Europe"
"33380",1388435,40,2.926058,4.092232,2.118571,2.810804,202,199,"Male",13,14,"Europe"
"33381",1388437,34,5.7375,0,0.7375,0,1,0,"Female",218,0,"Europe"
"33382",1388438,24,2.32375,0.5,0.7320833,0.3875,13,0,"Male",206,219,"Europe"
"33383",1388439,27,1.443333,0,0.7581481,0,53,0,"Male",164,0,"Europe"
"33384",1388441,26,2.737931,0,1.887069,0,30,0,"Male",189,0,"Europe"
"33385",1388442,48,5,0,0,0,184,0,"Male",35,0,"Europe"
"33386",1388443,35,1.125,0,0.64875,0,216,0,"Male",3,0,"Europe"
"33387",1388446,29,1.552233,0,0,0,36,0,"Female",183,0,"Asia"
"33388",1388448,26,110,0,0,0,0,0,"Male",212,0,"Europe"
"33389",1388451,45,11.25,0,0,0,65,0,"Male",154,0,"Europe"
"33390",1388452,40,1.2581,1.528481,1.16658,1.299223,133,106,"Male",73,92,NA
"33391",1388454,19,1.263889,1,0.6527778,0,17,0,"Male",21,36,"Europe"
"33392",1388457,49,13,0,1.8,0,109,0,"Male",82,0,"Europe"
"33393",1388458,38,2.489691,0,1.975464,0,16,0,"Female",195,0,"Europe"
"33394",1388461,31,6.75,0,8.53125,0,63,0,"Female",115,0,"Europe"
"33395",1388463,24,0.7515806,0.9853266,0.5942581,0.891206,203,140,"Male",3,66,"Europe"
"33396",1388465,18,1.707273,0.75,0.6145455,0.775,152,34,"Male",67,185,"Europe"
"33397",1388467,45,50,0,0,0,0,0,"Male",219,0,"Europe"
"33398",1388468,20,1.593333,1.460352,1.486267,1.498018,128,124,"Male",4,8,"Europe"
"33399",1388469,46,8.019512,10.5,0.3292683,0,212,5,"Male",3,195,"Europe"
"33400",1388470,32,3.762979,2.1125,2.908298,1.907708,32,25,"Female",187,194,"Europe"
"33401",1388474,28,2.610741,0,1.314444,0,125,0,"Male",87,0,"Europe"
